TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
org.ow2.proactive.catalog.util.LinkUtil,60,71522,11,8,0.48484848484848486,1.0,0.18181818181818182,0.3,5,0.25555555555555554
org.ow2.proactive.catalog.dto.Metadata,60,63202,41,16,1.0,1.0,0.8571428571428571,1.0,1,0.7916666666666666
org.ow2.proactive.catalog.dto.CatalogObjectMetadata,60,72988,213,49,1.0,0.7142857142857143,0.7857142857142857,0.9643916913946587,4,0.5126262626262627
org.ow2.proactive.catalog.dto.Metadata,60,62801,41,17,1.0,1.0,0.8571428571428571,1.0,1,0.7916666666666666
org.ow2.proactive.catalog.dto.CatalogObjectMetadata,60,73544,207,59,1.0,0.8125,0.7857142857142857,0.973293768545994,4,0.47474747474747475
org.ow2.proactive.catalog.dto.CatalogObjectDependencies,60,63496,79,20,1.0,0.9629629629629629,0.7894736842105263,0.9902912621359223,0,0.42857142857142855
org.ow2.proactive.catalog.dto.BucketMetadata,60,67893,35,13,1.0,1.0,0.8181818181818182,1.0,1,0.9166666666666666
org.ow2.proactive.catalog.dto.DependsOnCatalogObject,60,62930,54,23,1.0,0.96875,0.8666666666666667,0.9926470588235294,0,0.3617021276595745
org.ow2.proactive.catalog.dto.CatalogObjectMetadataList,60,63188,48,15,1.0,0.9473684210526315,0.7692307692307693,0.9821428571428571,0,0.375
org.ow2.proactive.catalog.dto.CatalogObjectNameReference,60,62623,47,20,1.0,0.9629629629629629,0.8461538461538461,0.9902912621359223,0,0.3523809523809524
org.ow2.proactive.catalog.dto.CatalogRawObject,60,63005,71,16,1.0,0.9375,1.0,0.9818181818181818,4,0.2
org.ow2.proactive.catalog.rest.query.parser.CatalogQueryLanguageBaseVisitor,60,64443,40,12,1.0,1.0,0.5,1.0,6,1.0
org.ow2.proactive.catalog.rest.query.parser.CatalogQueryLanguageBaseListener,60,15651,55,16,1.0,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.rest.exceptiohandler.ExceptionRepresentation,60,63350,77,27,1.0,0.9722222222222222,0.8823529411764706,0.99375,0,0.4074074074074074
org.ow2.proactive.catalog.rest.exceptiohandler.ExceptionHandlerController,60,63700,117,38,0.4,0.6,0.0,0.6666666666666666,0,0.0
org.ow2.proactive.catalog.rest.controller.BucketController,60,72701,163,14,0.6875,0.75,0.4,0.59375,6,0.03125
org.ow2.proactive.catalog.rest.controller.CatalogObjectReportController,60,73423,13,1,0.24,0.42857142857142855,1.0,0.125,1,0.0
org.ow2.proactive.catalog.rest.controller.GraphqlController,60,63765,16,4,1.0,1.0,0.3333333333333333,1.0,2,0.3103448275862069
org.ow2.proactive.catalog.rest.controller.CatalogObjectRevisionController,60,73437,11,5,0.1935483870967742,0.7142857142857143,0.0,0.4090909090909091,5,0.0
org.ow2.proactive.catalog.rest.controller.SwaggerController,60,61588,2,1,1.0,1.0,0.4,1.0,0,0.0
org.ow2.proactive.catalog.rest.controller.CatalogObjectCallGraphController,60,75057,27,3,0.3333333333333333,0.6666666666666666,1.0,0.1891891891891892,2,0.0
org.ow2.proactive.catalog.rest.controller.CatalogObjectController,60,72262,27,10,0.14492753623188406,0.2903225806451613,0.0,0.24031007751937986,9,0.0
org.ow2.proactive.catalog.graphql.handler.catalogobject.CatalogObjectKindFilterHandler,60,70038,42,7,1.0,1.0,0.5,1.0,1,0.2
org.ow2.proactive.catalog.graphql.handler.catalogobject.CatalogObjectNameFilterHandler,60,78384,40,7,1.0,1.0,0.5,1.0,1,0.2
org.ow2.proactive.catalog.graphql.handler.catalogobject.CatalogObjectBucketNameFilterHandler,60,69982,31,7,1.0,1.0,0.5,1.0,1,0.2
org.ow2.proactive.catalog.graphql.handler.catalogobject.CatalogObjectMetadataFilterHandler,60,70679,35,6,1.0,1.0,0.5,1.0,1,0.25
org.ow2.proactive.catalog.graphql.bean.CatalogObjectConnection,60,69843,157,49,1.0,0.9830508474576272,0.8709677419354839,0.9966442953020134,0,0.42727272727272725
org.ow2.proactive.catalog.graphql.bean.CatalogObject,60,67928,219,62,1.0,0.9885057471264368,0.9117647058823529,0.9961389961389961,3,0.4875444839857651
org.ow2.proactive.catalog.graphql.bean.common.Types,60,61618,3,2,1.0,1.0,0.25,1.0,0,1.0
org.ow2.proactive.catalog.graphql.bean.common.Arguments,60,61604,2,1,1.0,1.0,0.125,1.0,0,1.0
org.ow2.proactive.catalog.graphql.bean.common.Operations,60,61687,4,3,1.0,1.0,0.2,1.0,0,0.5
org.ow2.proactive.catalog.graphql.bean.common.Fields,60,61627,2,1,1.0,1.0,0.125,1.0,0,1.0
org.ow2.proactive.catalog.graphql.bean.argument.CatalogObjectRevisionWhereArgs,60,62794,78,22,1.0,0.967741935483871,0.75,0.9932885906040269,0,0.5302013422818792
org.ow2.proactive.catalog.graphql.bean.argument.CatalogObjectNameWhereArgs,60,62399,41,18,1.0,0.96,0.6666666666666666,0.9866666666666667,0,0.56
org.ow2.proactive.catalog.graphql.bean.argument.WhereArgs,60,70037,124,39,1.0,0.9857142857142858,0.8947368421052632,0.9617706237424547,1,0.37335834896810505
org.ow2.proactive.catalog.graphql.bean.argument.StringWhereArgs,60,63178,62,22,1.0,0.96875,0.8461538461538461,0.9956521739130435,0,0.4878048780487805
org.ow2.proactive.catalog.graphql.bean.argument.CatalogObjectWhereArgs,60,68125,221,44,1.0,0.9875,0.8275862068965517,0.9961240310077519,0,0.4653846153846154
